id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
102,Q32,2357,2023-04-07 19:31:51.901104,Saris,2023-04-07 19:31:51.901104,Saris,True,2,,,1.0,['2'],['1'],1,2,0.0,2.0,"['2', '3']",['1'],2,0,0,8.0,0,4.0,2,,,1.0,['2'],['1'],1,2,0.0,2.0,"['2', '3']",['1'],2,0,0,8.0,0,4.0
103,Q32,2410,2023-04-07 19:33:21.510663,Ely,2023-04-07 19:33:21.510663,Ely,True,1,1.0,,,['3'],['2'],0,,2.0,1.0,['3'],['2'],2,1,1,5.0,0,,1,1.0,,,['3'],['2'],0,,2.0,1.0,['3'],['2'],2,1,1,5.0,0,
105,Q33,8136,2023-04-07 19:41:20.036995,Ely,2023-04-07 19:41:20.036995,Ely,True,2,,,,,,0,,1.0,,['2'],['2'],2,0,1,1.0,1,,2,,,,,,0,,1.0,,['2'],['2'],2,0,1,1.0,1,
106,Q33,5006,2023-04-07 19:41:47.845857,Ely,2023-04-07 19:41:47.845857,Ely,True,2,,,1.0,['2'],['1'],,2,1.0,,"['2', '3']",['1'],2,0,1,4.0,0,4.0,2,,,1.0,['2'],['1'],,2,1.0,,"['2', '3']",['1'],2,0,1,4.0,0,4.0
107,Q34,4613,2023-04-07 19:49:43.321238,Saris,2023-04-07 19:49:43.321238,Saris,True,3,0.0,,1.0,['2'],['2'],1,,2.0,1.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,3.0,3,0.0,,1.0,['2'],['2'],1,,2.0,1.0,"['1', '2', '3']",['3'],2,0,1,9.0,0,3.0
108,Q34,8191,2023-04-07 19:52:00.744176,Ely,2023-04-07 19:52:00.744176,Ely,True,1,,,,,,0,,,,,,2,0,0,,0,,1,,,,,,0,,,,,,2,0,0,,0,
110,Q38,6026,2023-04-07 20:16:43.184391,A,2023-04-07 20:16:43.184391,A,True,3,,,,,,,,,1.0,"['1', '2']",['2'],0,,,,,3.0,3,,,,,,,,,1.0,"['1', '2']",['2'],0,,,,,3.0
113,Q45,2357,2023-04-07 21:09:34.187402,A,2023-04-07 21:09:34.187402,A,True,2,,1.0,1.0,,['2'],,,,,['3'],['1'],2,0,0,,0,3.0,2,,1.0,1.0,,['2'],,,,,['3'],['1'],2,0,0,,0,3.0
114,Q45,4646,2023-04-07 21:09:37.183784,A,2023-04-07 21:09:37.183784,A,True,2,,,,,,,2,1.0,,,,0,0,0,,0,,2,,,,,,,2,1.0,,,,0,0,0,,0,
115,Q46,2773,2023-04-07 21:18:27.392458,A,2023-04-07 21:18:27.392458,A,True,3,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,
